Date,DateKey,Year,Quarter,Month_Number,Month,Year_Month,Week_Number,Day_of_Week,Is_Weekend
2024-01-09,20240109,2024,Q1,1,styczeń,2024-01,2,wtorek,Nie
2024-01-23,20240123,2024,Q1,1,styczeń,2024-01,4,wtorek,Nie
2024-01-25,20240125,2024,Q1,1,styczeń,2024-01,4,czwartek,Nie
2024-01-26,20240126,2024,Q1,1,styczeń,2024-01,4,piątek,Nie
2024-01-28,20240128,2024,Q1,1,styczeń,2024-01,4,niedziela,Tak
2024-02-16,20240216,2024,Q1,2,luty,2024-02,7,piątek,Nie
2024-02-18,20240218,2024,Q1,2,luty,2024-02,7,niedziela,Tak
2024-02-21,20240221,2024,Q1,2,luty,2024-02,8,środa,Nie
2024-02-25,20240225,2024,Q1,2,luty,2024-02,8,niedziela,Tak
2024-02-29,20240229,2024,Q1,2,luty,2024-02,9,czwartek,Nie
2024-03-09,20240309,2024,Q1,3,marzec,2024-03,10,sobota,Tak
2024-03-10,20240310,2024,Q1,3,marzec,2024-03,10,niedziela,Tak
2024-03-17,20240317,2024,Q1,3,marzec,2024-03,11,niedziela,Tak
2024-03-18,20240318,2024,Q1,3,marzec,2024-03,12,poniedziałek,Nie
2024-03-26,20240326,2024,Q1,3,marzec,2024-03,13,wtorek,Nie
2024-04-09,20240409,2024,Q2,4,kwiecień,2024-04,15,wtorek,Nie
2024-04-12,20240412,2024,Q2,4,kwiecień,2024-04,15,piątek,Nie
2024-04-21,20240421,2024,Q2,4,kwiecień,2024-04,16,niedziela,Tak
2024-04-23,20240423,2024,Q2,4,kwiecień,2024-04,17,wtorek,Nie
2024-04-27,20240427,2024,Q2,4,kwiecień,2024-04,17,sobota,Tak
2024-05-11,20240511,2024,Q2,5,maj,2024-05,19,sobota,Tak
2024-05-13,20240513,2024,Q2,5,maj,2024-05,20,poniedziałek,Nie
2024-05-14,20240514,2024,Q2,5,maj,2024-05,20,wtorek,Nie
2024-05-25,20240525,2024,Q2,5,maj,2024-05,21,sobota,Tak
2024-05-30,20240530,2024,Q2,5,maj,2024-05,22,czwartek,Nie
2024-06-07,20240607,2024,Q2,6,czerwiec,2024-06,23,piątek,Nie
2024-06-08,20240608,2024,Q2,6,czerwiec,2024-06,23,sobota,Tak
2024-06-09,20240609,2024,Q2,6,czerwiec,2024-06,23,niedziela,Tak
2024-06-13,20240613,2024,Q2,6,czerwiec,2024-06,24,czwartek,Nie
2024-06-25,20240625,2024,Q2,6,czerwiec,2024-06,26,wtorek,Nie
2024-07-08,20240708,2024,Q3,7,lipiec,2024-07,28,poniedziałek,Nie
2024-07-11,20240711,2024,Q3,7,lipiec,2024-07,28,czwartek,Nie
2024-07-13,20240713,2024,Q3,7,lipiec,2024-07,28,sobota,Tak
2024-07-26,20240726,2024,Q3,7,lipiec,2024-07,30,piątek,Nie
2024-07-30,20240730,2024,Q3,7,lipiec,2024-07,31,wtorek,Nie
2024-08-13,20240813,2024,Q3,8,sierpień,2024-08,33,wtorek,Nie
2024-08-18,20240818,2024,Q3,8,sierpień,2024-08,33,niedziela,Tak
2024-08-20,20240820,2024,Q3,8,sierpień,2024-08,34,wtorek,Nie
2024-08-21,20240821,2024,Q3,8,sierpień,2024-08,34,środa,Nie
2024-08-23,20240823,2024,Q3,8,sierpień,2024-08,34,piątek,Nie
2024-09-06,20240906,2024,Q3,9,wrzesień,2024-09,36,piątek,Nie
2024-09-12,20240912,2024,Q3,9,wrzesień,2024-09,37,czwartek,Nie
2024-09-15,20240915,2024,Q3,9,wrzesień,2024-09,37,niedziela,Tak
2024-09-16,20240916,2024,Q3,9,wrzesień,2024-09,38,poniedziałek,Nie
2024-10-03,20241003,2024,Q4,10,październik,2024-10,40,czwartek,Nie
2024-10-05,20241005,2024,Q4,10,październik,2024-10,40,sobota,Tak
2024-10-10,20241010,2024,Q4,10,październik,2024-10,41,czwartek,Nie
2024-10-22,20241022,2024,Q4,10,październik,2024-10,43,wtorek,Nie
2024-10-31,20241031,2024,Q4,10,październik,2024-10,44,czwartek,Nie
2024-11-09,20241109,2024,Q4,11,listopad,2024-11,45,sobota,Tak
2024-11-10,20241110,2024,Q4,11,listopad,2024-11,45,niedziela,Tak
2024-11-14,20241114,2024,Q4,11,listopad,2024-11,46,czwartek,Nie
2024-11-26,20241126,2024,Q4,11,listopad,2024-11,48,wtorek,Nie
2024-12-01,20241201,2024,Q4,12,grudzień,2024-12,48,niedziela,Tak
2024-12-05,20241205,2024,Q4,12,grudzień,2024-12,49,czwartek,Nie
2024-12-18,20241218,2024,Q4,12,grudzień,2024-12,51,środa,Nie
2024-12-22,20241222,2024,Q4,12,grudzień,2024-12,51,niedziela,Tak
2024-12-28,20241228,2024,Q4,12,grudzień,2024-12,52,sobota,Tak
2025-01-05,20250105,2025,Q1,1,styczeń,2025-01,1,niedziela,Tak
2025-01-06,20250106,2025,Q1,1,styczeń,2025-01,2,poniedziałek,Nie
2025-01-11,20250111,2025,Q1,1,styczeń,2025-01,2,sobota,Tak
2025-01-18,20250118,2025,Q1,1,styczeń,2025-01,3,sobota,Tak
2025-01-23,20250123,2025,Q1,1,styczeń,2025-01,4,czwartek,Nie
2025-02-04,20250204,2025,Q1,2,luty,2025-02,6,wtorek,Nie
2025-02-05,20250205,2025,Q1,2,luty,2025-02,6,środa,Nie
2025-02-10,20250210,2025,Q1,2,luty,2025-02,7,poniedziałek,Nie
2025-02-11,20250211,2025,Q1,2,luty,2025-02,7,wtorek,Nie
2025-03-18,20250318,2025,Q1,3,marzec,2025-03,12,wtorek,Nie
2025-03-19,20250319,2025,Q1,3,marzec,2025-03,12,środa,Nie
2025-03-23,20250323,2025,Q1,3,marzec,2025-03,12,niedziela,Tak
2025-03-30,20250330,2025,Q1,3,marzec,2025-03,13,niedziela,Tak
2025-04-15,20250415,2025,Q2,4,kwiecień,2025-04,16,wtorek,Nie
2025-04-21,20250421,2025,Q2,4,kwiecień,2025-04,17,poniedziałek,Nie
2025-04-22,20250422,2025,Q2,4,kwiecień,2025-04,17,wtorek,Nie
2025-04-25,20250425,2025,Q2,4,kwiecień,2025-04,17,piątek,Nie
2025-05-13,20250513,2025,Q2,5,maj,2025-05,20,wtorek,Nie
2025-05-22,20250522,2025,Q2,5,maj,2025-05,21,czwartek,Nie
2025-05-24,20250524,2025,Q2,5,maj,2025-05,21,sobota,Tak
2025-05-28,20250528,2025,Q2,5,maj,2025-05,22,środa,Nie
2025-06-11,20250611,2025,Q2,6,czerwiec,2025-06,24,środa,Nie
2025-06-12,20250612,2025,Q2,6,czerwiec,2025-06,24,czwartek,Nie
2025-06-20,20250620,2025,Q2,6,czerwiec,2025-06,25,piątek,Nie
2025-06-30,20250630,2025,Q2,6,czerwiec,2025-06,27,poniedziałek,Nie
2025-07-05,20250705,2025,Q3,7,lipiec,2025-07,27,sobota,Tak
2025-07-23,20250723,2025,Q3,7,lipiec,2025-07,30,środa,Nie
2025-07-24,20250724,2025,Q3,7,lipiec,2025-07,30,czwartek,Nie
2025-07-25,20250725,2025,Q3,7,lipiec,2025-07,30,piątek,Nie
2025-07-30,20250730,2025,Q3,7,lipiec,2025-07,31,środa,Nie
2025-08-06,20250806,2025,Q3,8,sierpień,2025-08,32,środa,Nie
2025-08-11,20250811,2025,Q3,8,sierpień,2025-08,33,poniedziałek,Nie
2025-08-18,20250818,2025,Q3,8,sierpień,2025-08,34,poniedziałek,Nie
2025-08-19,20250819,2025,Q3,8,sierpień,2025-08,34,wtorek,Nie
2025-08-27,20250827,2025,Q3,8,sierpień,2025-08,35,środa,Nie
2025-09-01,20250901,2025,Q3,9,wrzesień,2025-09,36,poniedziałek,Nie
2025-09-09,20250909,2025,Q3,9,wrzesień,2025-09,37,wtorek,Nie
2025-09-14,20250914,2025,Q3,9,wrzesień,2025-09,37,niedziela,Tak
2025-09-17,20250917,2025,Q3,9,wrzesień,2025-09,38,środa,Nie
2025-10-03,20251003,2025,Q4,10,październik,2025-10,40,piątek,Nie
