Date,Campaign_ID,Channel_ID,Audience_ID,Region_ID,Impressions,Clicks,Conversions,New_Customers,Spend_PLN,Revenue_PLN,Gross_Profit_PLN,Engagement_Score
2024-01-23,C0223,CH04,AU06,RG02,202627,2198,51,33,3765.88,24646.54,8694.59,3.84
2024-01-26,C0052,CH01,AU04,RG05,24666,1807,236,70,6946.79,407060.61,88540.4,5
2024-01-09,C0041,CH02,AU03,RG05,21584,401,9,3,1194.18,2352.26,1130.39,7.25
2024-01-25,C0230,CH01,AU04,RG02,11604,486,15,7,1961.23,6463.5,3277.21,4.81
2024-01-28,C0097,CH02,AU04,RG02,95659,1766,76,20,5374.83,33964.88,16452.07,6.73
2024-02-29,C0094,CH04,AU03,RG01,81722,777,17,14,1490.91,10094.39,3420.61,4.48
2024-02-18,C0094,CH04,AU03,RG01,92684,707,16,14,1764.87,9355.12,3259.19,4
2024-02-16,C0070,CH04,AU06,RG04,150185,1440,27,10,2650.58,34679.51,7527.18,3.99
2024-02-21,C0056,CH03,AU06,RG03,55839,7559,579,162,4585.87,224694.6,112536.93,6.07
2024-02-25,C0200,CH03,AU07,RG04,29236,3475,311,173,4194.38,67457.95,37761.18,5.7
2024-03-17,C0062,CH03,AU04,RG03,23812,2025,57,25,4079.41,25488.43,12282.08,6.53
2024-03-26,C0204,CH02,AU04,RG04,40648,855,44,7,2329.04,71608.97,15912.41,7.31
2024-03-18,C0183,CH03,AU05,RG06,59747,11378,1066,505,4764.92,200359.54,100112.05,6.35
2024-03-10,C0056,CH03,AU06,RG03,20073,2230,148,37,3588.78,54061.31,26142.1,6.66
2024-03-09,C0056,CH03,AU06,RG03,44803,4725,346,94,4204.74,114807.34,56117.8,6.09
2024-04-12,C0010,CH01,AU05,RG03,31792,2191,179,167,10987.1,135973.14,30008.45,5.09
2024-04-23,C0043,CH01,AU04,RG02,42148,1969,117,50,6663.54,36743.11,20625.31,5.09
2024-04-27,C0043,CH01,AU04,RG02,10525,511,30,8,1788.7,8051.97,4389.39,5.46
2024-04-21,C0120,CH01,AU06,RG06,39725,2344,182,155,10170,59695.18,29677.01,5.66
2024-04-09,C0138,CH03,AU07,RG04,17135,1650,46,22,3640.96,21306.86,7465.13,6.91
2024-05-11,C0002,CH01,AU01,RG06,20914,1103,88,77,5163.02,23950.68,10365.21,5.28
2024-05-30,C0078,CH03,AU01,RG05,72810,6830,349,265,4945.84,87149.91,41829.99,5.75
2024-05-14,C0024,CH04,AU04,RG03,103262,834,30,9,1912.73,9307.06,5145.21,3.92
2024-05-13,C0208,CH02,AU05,RG01,25001,460,14,1,1332.63,2401.88,1363.93,7.09
2024-05-25,C0118,CH01,AU07,RG02,32402,1893,167,102,9911.6,39410.83,19434.85,5.16
2024-06-13,C0216,CH03,AU07,RG02,52810,5969,305,226,4360.78,128353.19,44107.38,6.76
2024-06-09,C0146,CH05,AU04,RG01,33456,915,14,12,8539.25,6538.61,3140.85,8.1
2024-06-25,C0107,CH01,AU01,RG04,35299,1990,141,123,9838.5,33307.7,16565.89,5.83
2024-06-08,C0078,CH03,AU01,RG05,66966,5484,283,209,4882.13,51547.79,24972.72,6.25
2024-06-07,C0118,CH01,AU07,RG02,47280,2849,247,142,16084.33,53896.66,26366.14,5.07
2024-07-11,C0146,CH05,AU04,RG01,44057,1026,39,33,6306.72,19600.76,9885.39,8.05
2024-07-30,C0071,CH02,AU05,RG05,45452,799,28,18,2666.63,7937.48,2637,7.08
2024-07-26,C0222,CH02,AU05,RG02,31201,679,36,9,1772.87,4997.95,2768.5,6.77
2024-07-08,C0032,CH02,AU04,RG06,115021,1839,91,82,6229.63,124011.51,27075.28,6.92
2024-07-13,C0222,CH02,AU05,RG02,34760,694,23,10,1981.21,3589.95,2008.88,6.39
2024-08-23,C0182,CH03,AU06,RG02,26246,3474,302,153,4056.36,102696.56,51325.9,6.35
2024-08-18,C0038,CH04,AU04,RG05,145823,983,23,9,2756.17,33894.98,7478.15,4.1
2024-08-20,C0151,CH05,AU02,RG04,35975,1338,77,23,6999.43,46511.12,15994.45,7.81
2024-08-21,C0098,CH01,AU05,RG02,36847,2111,175,44,9410.91,25510.64,14583.88,5.73
2024-08-13,C0081,CH04,AU02,RG04,119735,1202,31,6,2216.87,10482.63,5101.68,2.86
2024-09-15,C0110,CH05,AU07,RG06,64771,2032,57,24,8167.12,14444.14,7177.93,8.68
2024-09-06,C0066,CH04,AU03,RG03,135454,1219,33,10,2432.95,8110.01,4484.49,3.8
2024-09-15,C0083,CH01,AU02,RG01,21538,1294,159,98,6461.15,35877.58,20134.41,5.24
2024-09-16,C0140,CH01,AU02,RG06,22059,1232,158,48,4355.49,152922.37,32575.46,5.39
2024-09-12,C0046,CH01,AU05,RG05,14017,984,109,30,4004.56,40936.43,14129.94,5.37
2024-10-03,C0033,CH05,AU05,RG01,27254,681,10,5,6923.49,2456.6,1083.77,7.64
2024-10-22,C0085,CH03,AU02,RG06,55441,6692,420,332,4957.93,401023.42,87915.92,6.42
2024-10-05,C0033,CH05,AU05,RG01,161294,3500,74,30,10808.31,20793.24,9001.95,7.82
2024-10-10,C0083,CH01,AU02,RG01,35558,2846,238,122,14603.32,45247.96,25890.94,5.41
2024-10-31,C0186,CH01,AU02,RG01,51999,4007,468,282,21165.51,130959.58,64283.18,5.9
2024-11-09,C0134,CH05,AU07,RG02,169647,7761,641,177,15054.9,107284.01,59037.94,8.8
2024-11-14,C0190,CH02,AU05,RG06,140680,3180,197,123,9321.07,42648.07,18430.42,7.31
2024-11-10,C0095,CH05,AU01,RG04,72857,2939,195,111,10641.23,24868.44,13993.63,8.45
2024-11-26,C0236,CH04,AU05,RG06,176337,1116,14,7,3598.57,2494.08,1189.67,4.6
2024-11-09,C0026,CH02,AU04,RG05,174356,3366,143,128,10577.85,71291.75,29484.59,7.67
2024-12-18,C0190,CH02,AU05,RG06,70302,1646,93,58,4823.87,19846.73,8500.19,7.13
2024-12-05,C0229,CH05,AU03,RG02,100477,4096,324,103,10359.84,129787.17,56865.56,7.99
2024-12-22,C0022,CH05,AU04,RG06,134582,3053,76,31,11092.18,20723.45,11314.93,7.91
2024-12-01,C0175,CH01,AU04,RG03,8890,454,35,29,2134.49,27064.38,9305.07,6.01
2024-12-28,C0009,CH03,AU01,RG04,62316,5883,441,345,4816.14,136871.07,57654.47,5.97
2025-01-23,C0232,CH01,AU04,RG03,21074,1016,40,17,3768.38,29512.61,9790.47,5.54
2025-01-06,C0130,CH05,AU02,RG01,62922,1736,65,50,7676.92,15209.59,8758.94,7.76
2025-01-05,C0174,CH05,AU02,RG06,81178,2739,110,56,8863.14,27442.12,13833.02,7.84
2025-01-18,C0239,CH02,AU04,RG01,81068,1027,15,6,4216.88,12829.75,4396.24,7.6
2025-01-11,C0031,CH05,AU04,RG01,89902,3560,172,94,9405.92,42860.36,23555.18,8.38
2025-02-04,C0232,CH01,AU04,RG03,19919,862,51,19,2790.01,37884.66,12829.55,4.53
2025-02-11,C0023,CH02,AU03,RG04,39758,617,27,24,2458.71,11416.51,5082.28,7.09
